example_id,layer,head,nas
2026,0,0,-0.0118408203125
2026,0,1,-0.001983642578125
2026,0,2,-0.006011962890625
2026,0,3,-0.02783203125
2026,0,4,-0.0150146484375
2026,0,5,-0.0162353515625
2026,0,6,-0.01287841796875
2026,0,7,-0.01470947265625
2026,0,8,-0.00872802734375
2026,0,9,-0.01416015625
2026,0,10,-0.000782012939453125
2026,0,11,0.004791259765625
2026,0,12,-0.00494384765625
2026,0,13,-0.00469970703125
2026,0,14,-0.00079345703125
2026,0,15,-0.00494384765625
2026,0,16,-0.00152587890625
2026,0,17,-0.001556396484375
2026,0,18,-0.0010528564453125
2026,0,19,-0.003936767578125
2026,0,20,-0.002410888671875
2026,0,21,-0.00823974609375
2026,0,22,-0.00628662109375
2026,0,23,-0.012451171875
2026,0,24,-0.0186767578125
2026,0,25,-0.006866455078125
2026,0,26,-0.0150146484375
2026,0,27,-0.00836181640625
2026,0,28,-0.0025787353515625
2026,0,29,-0.00144195556640625
2026,0,30,0.00018978118896484375
2026,0,31,1.1525116860866547e-08
2026,1,0,-0.00078582763671875
2026,1,1,-0.000530242919921875
2026,1,2,0.000820159912109375
2026,1,3,-0.0014801025390625
2026,1,4,0.000270843505859375
2026,1,5,-0.000576019287109375
2026,1,6,-0.0001087188720703125
2026,1,7,0.001068115234375
2026,1,8,-0.0106201171875
2026,1,9,-0.00164794921875
2026,1,10,-0.0034027099609375
2026,1,11,-0.0018463134765625
2026,1,12,0.00567626953125
2026,1,13,-0.001312255859375
2026,1,14,-0.00191497802734375
2026,1,15,-0.0028839111328125
2026,1,16,-0.00010204315185546875
2026,1,17,-0.0007781982421875
2026,1,18,-0.00028228759765625
2026,1,19,-0.0025787353515625
2026,1,20,1.7762184143066406e-05
2026,1,21,1.8477439880371094e-05
2026,1,22,0.0
2026,1,23,1.2734375
2026,1,24,-0.00064849853515625
2026,1,25,-0.0009613037109375
2026,1,26,-0.000713348388671875
2026,1,27,-0.00154876708984375
2026,1,28,0.0047607421875
2026,1,29,-0.003692626953125
2026,1,30,-0.0024261474609375
2026,1,31,-0.00164031982421875
2026,2,0,0.000469207763671875
2026,2,1,0.0032806396484375
2026,2,2,0.00087738037109375
2026,2,3,0.007476806640625
2026,2,4,-0.001617431640625
2026,2,5,0.00970458984375
2026,2,6,0.006134033203125
2026,2,7,-0.0010986328125
2026,2,8,0.000865936279296875
2026,2,9,0.0005035400390625
2026,2,10,0.0038604736328125
2026,2,11,0.000934600830078125
2026,2,12,0.7890625
2026,2,13,0.00238037109375
2026,2,14,0.0281982421875
2026,2,15,0.00555419921875
2026,2,16,-0.000316619873046875
2026,2,17,0.0023040771484375
2026,2,18,0.00051116943359375
2026,2,19,0.018310546875
2026,2,20,0.80078125
2026,2,21,0.0030975341796875
2026,2,22,0.06884765625
2026,2,23,0.0054931640625
2026,2,24,-0.0157470703125
2026,2,25,0.1025390625
2026,2,26,0.271484375
2026,2,27,0.01544189453125
2026,2,28,0.00041961669921875
2026,2,29,0.004913330078125
2026,2,30,-9.5367431640625e-05
2026,2,31,-0.00012302398681640625
2026,3,0,0.01153564453125
2026,3,1,0.02392578125
2026,3,2,0.00131988525390625
2026,3,3,0.0028839111328125
2026,3,4,-0.0009307861328125
2026,3,5,-0.0001773834228515625
2026,3,6,-0.0037384033203125
2026,3,7,0.003753662109375
2026,3,8,0.00058746337890625
2026,3,9,0.0042724609375
2026,3,10,-0.00090789794921875
2026,3,11,-0.0022735595703125
2026,3,12,0.054931640625
2026,3,13,0.0081787109375
2026,3,14,0.000865936279296875
2026,3,15,0.0106201171875
2026,3,16,0.001983642578125
2026,3,17,0.00021648406982421875
2026,3,18,0.000720977783203125
2026,3,19,0.0029754638671875
2026,3,20,0.0037841796875
2026,3,21,0.00634765625
2026,3,22,0.0157470703125
2026,3,23,-0.0016632080078125
2026,3,24,-0.00031280517578125
2026,3,25,0.008056640625
2026,3,26,0.0045166015625
2026,3,27,-0.341796875
2026,3,28,0.005462646484375
2026,3,29,0.0005035400390625
2026,3,30,0.007476806640625
2026,3,31,0.01287841796875
2026,4,0,0.012939453125
2026,4,1,0.0028076171875
2026,4,2,-0.0009307861328125
2026,4,3,-0.00077056884765625
2026,4,4,0.0091552734375
2026,4,5,0.03955078125
2026,4,6,0.060791015625
2026,4,7,0.003875732421875
2026,4,8,0.00921630859375
2026,4,9,0.0084228515625
2026,4,10,0.005401611328125
2026,4,11,0.0029144287109375
2026,4,12,0.00012874603271484375
2026,4,13,-0.0031280517578125
2026,4,14,9.357929229736328e-06
2026,4,15,-0.01220703125
2026,4,16,2.0625
2026,4,17,0.0014495849609375
2026,4,18,-0.0003757476806640625
2026,4,19,0.034423828125
2026,4,20,0.0087890625
2026,4,21,0.0067138671875
2026,4,22,0.00116729736328125
2026,4,23,0.0074462890625
2026,4,24,-0.00089263916015625
2026,4,25,-0.00121307373046875
2026,4,26,0.00750732421875
2026,4,27,0.0004520416259765625
2026,4,28,0.00616455078125
2026,4,29,-0.00311279296875
2026,4,30,0.0006256103515625
2026,4,31,-0.00144195556640625
2026,5,0,0.0086669921875
2026,5,1,0.1142578125
2026,5,2,0.00830078125
2026,5,3,0.0035247802734375
2026,5,4,1.296875
2026,5,5,0.69140625
2026,5,6,-2.03125
2026,5,7,-0.03662109375
2026,5,8,0.21875
2026,5,9,0.79296875
2026,5,10,0.1484375
2026,5,11,2.265625
2026,5,12,0.006500244140625
2026,5,13,0.0017547607421875
2026,5,14,0.0010833740234375
2026,5,15,0.002288818359375
2026,5,16,0.00811767578125
2026,5,17,0.07373046875
2026,5,18,0.0419921875
2026,5,19,0.00372314453125
2026,5,20,0.004608154296875
2026,5,21,-0.060546875
2026,5,22,0.0205078125
2026,5,23,0.01043701171875
2026,5,24,0.00567626953125
2026,5,25,0.007293701171875
2026,5,26,0.0045166015625
2026,5,27,-0.001983642578125
2026,5,28,0.045654296875
2026,5,29,0.01312255859375
2026,5,30,0.01055908203125
2026,5,31,0.0034942626953125
2026,6,0,-0.003875732421875
2026,6,1,0.00811767578125
2026,6,2,0.0020904541015625
2026,6,3,0.030517578125
2026,6,4,0.1318359375
2026,6,5,0.0177001953125
2026,6,6,0.111328125
2026,6,7,0.0751953125
2026,6,8,0.00080108642578125
2026,6,9,0.10009765625
2026,6,10,0.003143310546875
2026,6,11,0.0244140625
2026,6,12,0.011474609375
2026,6,13,-0.00016307830810546875
2026,6,14,0.01531982421875
2026,6,15,0.001007080078125
2026,6,16,0.00811767578125
2026,6,17,0.0179443359375
2026,6,18,0.01129150390625
2026,6,19,0.0059814453125
2026,6,20,0.04345703125
2026,6,21,0.07568359375
2026,6,22,0.546875
2026,6,23,0.0078125
2026,6,24,0.032470703125
2026,6,25,0.033935546875
2026,6,26,-0.0103759765625
2026,6,27,0.03955078125
2026,6,28,0.031982421875
2026,6,29,0.07373046875
2026,6,30,0.0189208984375
2026,6,31,-0.072265625
2026,7,0,-0.004791259765625
2026,7,1,-0.01446533203125
2026,7,2,-0.0020751953125
2026,7,3,0.54296875
2026,7,4,0.01409912109375
2026,7,5,-2.3603439331054688e-05
2026,7,6,0.01531982421875
2026,7,7,0.023193359375
2026,7,8,0.0213623046875
2026,7,9,0.0157470703125
2026,7,10,0.026611328125
2026,7,11,0.0498046875
2026,7,12,0.0001468658447265625
2026,7,13,0.003204345703125
2026,7,14,0.0098876953125
2026,7,15,0.00714111328125
2026,7,16,0.0184326171875
2026,7,17,0.014892578125
2026,7,18,0.0145263671875
2026,7,19,0.00168609619140625
2026,7,20,0.00555419921875
2026,7,21,0.028076171875
